"","DSS Status","CP Thrptc Area Cde","TR Trial Num","TR Trial Alias","TR Cmpnd Desc","TR Phase Cde","TR Pln Entr Trt","Cfm Entr Trt","TR Cntrys Pln","TR Sites Pln","TR PA Fct","TR PA Act","TR FPV Fct","TR FPV Act","TR LPV Fct","TR LPV Act","TR Primary Outcome LPV Fct","TR Primary Outcome LPV Act","TR Primary Outcome DB Lock Fct","TR Primary Outcome DB Lock Act","TR DB Fnlzd Fct","TR DB Fnlzd Act","TR Fnl Rpt Cmplt Fct","TR Fnl Rpt Cmplt Act","TR Trial Publication Fct","TR Trial Publication Act","TR Managing MU Cde","TR DMgmt MU Cde","TR Finance MU Cde","TR Rglty Category Cde","TR Funding","TR Canc Stp Flg","TR Trial Status Desc Cancel/Stop","TR Date Hld Canc Stp","TR CRF Agreement/TG 3 Fct","TR CRF Agreement/TG 3 Act","TR CRF Aprvl/TG 4 Fct","TR CRF Aprvl/TG 4 Act","TR Sys in Prod Fct","TR Sys in Prod Act","TR Trial Desc","TR Critical Path","LY","Manager","Data Management System","Data Management Support (Lilly/TPO)","Clinical Data Associate","CDM Name","Comments","eCOA Flag"
"1",NA,NA,18591,NA,"ANGPTL8 siRNA (LY3849228)","I/IB","20",NA,1,4,2023-10-09,NA,2024-01-08,NA,2025-09-04,NA,NA,NA,NA,NA,2025-11-03,NA,2026-02-02,NA,NA,NA,"COR","COR","PRX","CT-EXP",NA,"No","Created",NA,NA,NA,NA,NA,NA,NA,"PF Patients with severe hypertriglyceridemia",NA,"LLY3849228",NA,NA,NA,NA,NA,NA,NA
"2",NA,"ONC",16320,"I4T-KL-B004","Ramucirumab","IV","3158","103",1,60,2015-10-01,2015-11-12,2017-01-31,2017-01-12,2021-01-15,NA,NA,NA,NA,NA,2021-04-30,NA,2021-07-14,NA,NA,NA,"EMB","MHL","EMB","PMSNI1","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"KR_Ph IV - Ramucirumab-Gastric & Gastroesophogeal Junction","Not Critical","LLY3009806",NA,"EDC Other","Medi Help Line","Wei Li",NA,"PMS study",NA
"3",NA,"NS",15275,"H8A-MC-LZAZ","Solanezumab","III","1150","34",3,61,2013-09-10,2013-09-08,2014-02-13,2014-02-28,2022-12-29,NA,2022-12-29,NA,2023-03-01,NA,2023-03-31,NA,2023-09-30,NA,NA,NA,"ATR","ATR","COR","CTTHER","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,2014-01-28,"A4 - Anti-Amyloid Treatment in Asymptomatic AD","Critical","LLY2062430","Jude Joseph Burger","EDC Other","Alzheimer’s Disease Cooperative Study (ADCS)",NA,NA,"A4 study - not longer ADCS - now ATRI is the partner.",NA
"4",NA,"ONC",16230,"I3Y-MC-E004","Abemaciclib","II","24","0",1,1,NA,2017-08-16,2020-06-15,NA,2022-07-01,NA,NA,NA,NA,NA,NA,NA,2023-07-01,NA,NA,NA,"COR","COR","COR","EXIST","Corporate","No","Protocol Approved",2017-09-28,NA,NA,NA,NA,NA,NA,"Ph II - Abema - Biliary","Not Critical","LLY2835219",NA,NA,NA,NA,NA,NA,NA
"5",NA,"DIAB",14171,"H9X-MC-GBGC","Dulaglutide","III","150","154",12,70,2016-02-26,2016-02-24,2017-01-09,2016-12-29,2022-01-07,2022-01-12,2021-06-11,2021-06-12,2021-07-02,2021-07-02,2022-02-04,2022-02-07,2022-05-30,2022-05-11,NA,NA,"COR","COR","COR","CTCONF","Corporate","No","Final Report Complete",NA,NA,NA,NA,NA,NA,NA,"Pediatric Study 2","Not Critical","LLY2189265","BISHWAPRIYA DEB","InForm/DMW","Lilly LCCI only (Syneos Transition)","Priya Carol Dsilva","Sanjay K, Ahanthem Ranita","Study transitioned from Syneos to Lilly on 22 May 2020. Study is fully supported from LCCI. CDA prior to transition to LCCI was Vidhi Joshi
",NA
"6",NA,"ONC",16191,"I6F-JE-JJCC","Notch Inhibitor II (LY3039478)","I","12","11",1,1,2016-04-28,2016-04-20,2016-09-01,2016-09-09,2023-09-30,NA,2019-07-05,2019-07-05,2019-07-30,2019-07-30,2023-10-31,NA,2023-10-31,NA,2020-06-30,2020-09-16,"JP","ICC","PRO","CT-EXP","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"JP_FHD - Ph I - Notch Inhib II - Solid Tumors","Not Critical","LLY3039478","Tomoko Maegawa","InForm/DMW","Lilly LCCI only",NA,"Swati Chaturvedi- She also the CDA of this study
Nigam kumar Panda is taking over this study from Swati as CDA","Study transitioned from ICON on execution phase. Transitioned on 1 Nov 2021",NA
"7",NA,"ONC",16185,"I8X-MC-JECA","TGFb RI Kinase Inhibitor II (LY3200882","I/IB","133","139",14,25,2016-06-06,2016-06-09,2016-11-22,2016-11-21,2022-12-30,NA,2020-03-02,2020-02-27,2020-04-10,2020-04-10,2023-01-30,NA,2023-04-30,NA,NA,NA,"COR","COR","PRO","CT-EXP","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"FHD_Ph I/Ib - TGFb Inhib II - Solid Tumors","Critical","LLY3200882","Santosh Kumar Chellur","InForm/DMW","Lilly LCCI only (ICON Transition)","Mehek Gupta","Mehek Gupta,Satya Durga","Jan 2022 Mehek Gupta is current CDA
Sep 2021 - Transitioning from Jennifer Negri to Sahil Chada - full LCCI support
June 2016 - Hetu Gadhia will partner w/ Dana Lane during build.  Hetu will become CDA sometime after FPV. Study has transitioned from ICON to Lilly on trial execution. Transition on 6 Aug 2021",NA
"8",NA,"ONC",16321,"I4X-MC-B002","Necitumumab","IV","1000","5",19,149,2016-11-18,2016-11-10,2019-01-31,2019-03-11,2022-10-18,NA,2022-10-18,NA,2022-11-18,NA,2022-11-18,2021-02-16,2023-02-18,2021-08-05,NA,NA,"QUI","QUI","COR","PMNIEU","Corporate","No","Trial File Closed",NA,NA,NA,NA,NA,NA,NA,"Ph IV - Necitumumab - sq NSCLC","Not Critical","LLY3012211","Marisa Alamillo","IBM Clinical Development Platform","IQVIA","Veronica Laso",NA,"EU PASS trial",NA
"9",NA,"END",17127,"B3D-US-B029","Forteo","IV","200","0",1,1,NA,2018-06-12,NA,2019-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COR","COR","COR","NDIS",NA,"No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Primary Data Collection Site Based Observational Pragmatic S",NA,"LLY333334","Not Supported",NA,NA,NA,NA,NA,NA
"10",NA,"ONC",16161,"I8I-MC-JYAA","Oncology Multi-compound Continued Access","I/IB","1",NA,1,2,2015-08-17,2015-08-20,2016-12-16,2015-12-16,2022-12-19,NA,2022-12-19,NA,NA,NA,2024-05-01,NA,NA,NA,NA,NA,"COR","COR","PRO","CT-EXP","Corporate","No","First Patient Visit",NA,NA,NA,NA,NA,NA,NA,"Single Protocol-cont access to study drug-mult compounds","Not Critical","LLY900016","Kalyan Kumar Reddy Burla","InForm/DMW","Lilly LCCI only (ICON Transition)","Priyam Sarkar",NA,"study transitioned from ICON during trial execution. Transitioned on Dec 3 2021",NA
"11",NA,"ONC",16156,"I4X-MC-E001","Necitumumab","I","30","101",1,3,2015-09-30,2015-10-07,2016-05-31,2016-04-20,2020-12-31,NA,NA,NA,NA,NA,NA,NA,2021-06-30,NA,NA,NA,"COR","COR","COR","EXIST","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph I - Necitumumab + AZD291 - NSCLC","Not Critical","LLY3012211",NA,NA,NA,NA,NA,NA,NA
"12",NA,"ONC",16088,"I8J-MC-JYCA","PDL1+LY Combo (LY3300054)","I","215","160",16,30,2016-02-19,2016-02-18,2016-07-08,2016-06-29,2022-12-06,NA,2020-06-06,2020-05-22,2020-07-14,2020-07-14,2023-01-17,NA,2023-04-17,NA,NA,NA,"COR","NVL","PRO","CT-EXP","Corporate","No","First Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"FHD  -Ph I - PD-L1 Antibody - Dose Escalation","Critical","LLY3300054","Kalyan Kumar Reddy Burla","InForm","Novella","Priyam Sarkar","Allison Rice","CDA Transition from Samantha King to Priyam Sarkar occurred Apr 8, 2021.  Also Manager transition from Laura Davidson to Kalyan Kumar Reddy Burla occurred Apr 8, 2021. DKrey (Oct 12 2017) - SDTM not required to be delivered by novella for this trial.  InForm Version 6.0 - 1/12/2017 cnh. Manager switched to HRivera 01Feb2017; CDA transitioned to Anu T from Shail P on 01Aug2017; CDA transitioned to Yan Zeng from Anu on Oct2017;Transitioned to Chris Helton Nov2017",NA
"13",NA,"ONC",15847,"I5B-MC-JGDQ","Olaratumab","IB","37","41",4,6,2016-10-07,2016-10-07,2017-06-27,2017-07-03,2023-05-26,NA,2021-04-28,2021-05-06,2021-06-23,2021-06-23,2022-06-28,NA,2022-07-28,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","No","Last Pt. Enter Treatment",NA,NA,NA,NA,NA,NA,NA,"Ph Ib - Olaratumab + PD1(external) - Solid Tumors","Not Critical","LLY3012207","Kalyan Kumar Reddy Burla","InForm/DMW","Lilly LCCI only (Syneos Transition)","Jalpa K Kothari","Aniruddha Ghosh","Study transitioned from Syneos to Lilly on 1 Sep 2020. Andrea was CDA May 2018 when it was transitioned to Carol Bradford.<br>Jennifer Miller assumed CDA responsibility October 2018",NA
"14",NA,"ONC",15844,"I5B-MC-JGDP","Olaratumab","IB/II","206","194",4,50,2016-09-14,2016-09-15,2017-06-01,2017-06-22,2021-11-16,NA,2021-01-31,2021-01-05,2021-03-03,2021-03-01,2021-08-03,2021-07-26,2022-03-30,NA,NA,NA,"COR","COR","COR","CT-EXP","Corporate","No","Database Finalized",NA,2017-02-02,NA,NA,NA,NA,NA,"Ph Ib/II - Gemcitabine+Nab-paclitaxel +/- Olara - Pancreas","Critical","LLY3012207","Dana Renae Lane","InForm/DMW","Lilly LCC/LCCI (Syneos Transition)","Kimberly Swinney","Debolina Banerjee, Priyam Sarkar","Study transitioned from Syneos to Lilly on 26 May 2020
Study supported by Lilly LCC and LCCI 
Study transitioned from Reena Ambaliya to Kimberly Swinney - 9 Oct 2020
",NA
